17,2,25,1.177,43,9,83.33334,50,577,20,73,250,106,28,31,15,4,2,8
18,2,19,1.121,25,15,21,62,194,0,7,31,56,63,23,12,2,0,0
18,2,19,1.144,75,13,17.33333,8,194,0,1,20,37,35,15,27,17,6,2
18,2,25,1.111,59,9,50.66667,5,318,11,30,152,68,15,3,3,11,4,10
18,2,25,1.113,45,8,63.33333,4,569,20,111,184,108,83,25,17,9,5,7
18,2,25,1.153,52,7,46,24,654,18,111,128,106,78,63,57,33,13,19
18,2,25,1.14,30,10,43.33333,72,496,28,17,127,104,83,65,58,12,2,0
18,3,19,1.156,46,26,27,127,506,16,10,6,37,61,62,61,80,42,26
18,3,19,1.121,63,17,28.33333,18,484,26,6,35,29,85,70,40,41,56,18
18,3,19,1.125,49,31,13.33333,33,234,22,7,8,22,35,33,22,13,2,37
18,3,19,1.14,58,21,11.66667,21,207,13,9,2,12,27,33,35,11,6,18
18,3,25,1.13,45,11,27,10,462,49,43,80,67,53,61,37,29,32,8
18,3,25,1.119,49,7,55,1,493,56,129,118,53,32,22,41,20,18,3
18,3,25,1.072,64,8,44.66667,3,634,29,80,116,131,79,55,17,25,12,26
21,1,19,1.068,63,22,18.66667,17,281,4,7,8,19,27,24,32,42,44,19
21,1,19,1.117,45,17,26,161,493,9,9,19,37,74,52,46,37,36,19
21,1,25,1.083,26,15,68.33334,224,1000,128,110,176,157,205,113,108,3,0,0
21,1,25,1.05,24,8,65.33334,63,683,86,139,189,127,101,29,12,0,0,0
21,3,19,1.102,72,11,19.33333,30,270,0,11,35,45,33,14,13,22,9,16
21,3,19,1.094,50,21,20,70,417,0,9,20,42,55,30,60,58,37,28
21,3,19,1.098,43,18,26.66667,16,413,27,11,28,58,66,80,68,51,15,6
21,3,19,1.116,63,12,21.33333,25,334,18,8,33,64,35,36,27,22,15,16
21,3,25,1.071,32,9,30.66667,97,400,25,75,92,36,37,34,22,21,31,24
21,3,25,1.078,52,10,39.33333,4,536,23,63,99,84,68,29,43,10,51,56
21,3,25,1.078,60,8,28,8,378,8,22,80,74,39,51,18,26,28,7
21,3,25,1.087,49,7,45.66667,0,410,1,92,117,110,51,25,7,5,2,0
24,2,19,1.128,60,17,13.33333,7,227,0,12,26,25,34,38,29,13,11,7
24,2,19,1.076,40,20,24.66667,61,332,11,9,3,13,44,66,73,52,16,18
24,2,25,1.122,53,9,71,4,569,29,46,213,112,46,55,17,4,12,8
24,2,25,1.109,30,11,68,132,713,11,37,201,176,73,83,70,38,17,7
24,2,25,1.105,53,18,59.66667,50,979,29,68,152,114,97,179,29,72,105,50
24,3,19,1.136,89,16,41,17,606,0,14,21,74,97,96,68,77,54,33
24,3,19,1.063,52,16,32.33333,36,490,19,2,12,29,78,75,69,80,56,17
24,3,19,1.108,72,17,32.33333,12,482,2,19,27,40,77,83,71,68,33,16
24,3,19,1.115,72,19,35,7,476,19,8,20,46,58,88,79,41,27,30
24,3,25,1.055,34,11,50,17,396,14,24,106,122,48,57,13,2,5,2
24,3,25,1.055,52,10,64,2,571,52,56,166,140,77,37,31,4,4,1
27,1,19,1.083,35,14,23.33333,49,308,6,9,46,57,66,41,34,20,16,5
27,1,19,1.105,36,25,29.33333,186,457,10,11,10,42,68,59,57,76,61,36
27,1,25,1.087,54,16,36.33333,9,554,66,33,58,58,106,61,57,20,41,20
27,1,25,1.125,49,7,45.66667,1,403,92,91,116,72,27,4,0,0,0,0
27,1,25,1.078,31,11,15.66667,27,208,16,24,37,40,40,24,19,6,2,0
27,1,25,1.08,33,9,31.33333,59,466,49,27,94,64,90,53,51,31,5,2
27,2,19,1.147,47,14,23.66667,36,373,10,15,56,51,65,52,54,22,6,6
27,2,19,1.156,36,21,17.33333,99,306,11,7,20,33,37,44,52,28,32,14
27,2,25,1.139,52,8,19.33333,1,265,26,29,51,23,31,19,42,27,9,7
27,2,25,1.119,37,13,32.66667,63,433,18,16,72,90,44,50,55,49,29,8
27,2,25,1.068,31,10,33.33333,61,358,8,11,77,90,62,49,28,20,11,2
28,1,19,1.102,46,21,16,19,299,10,13,40,28,41,34,48,34,30,9
28,1,19,1.099,47,21,27,125,497,14,13,3,19,40,77,81,66,43,20
28,1,25,1.049,29,10,54.66667,89,480,30,25,149,95,73,35,37,26,10,0
28,1,25,1.108,44,11,34.33333,2,339,37,56,100,80,41,16,5,2,0,0
28,1,25,1.122,39,9,57,29,875,27,102,171,137,170,142,55,42,27,1
28,1,25,1.071,30,7,51,24,619,46,132,151,123,74,69,19,2,3,0
28,2,19,1.128,50,15,34.66667,25,460,25,8,21,61,104,71,58,54,15,17
28,2,19,1.117,48,14,33.33333,35,381,30,11,8,60,92,82,28,17,3,15
28,2,25,1.1,57,25,27.66667,1,473,27,25,47,55,43,42,83,76,46,14
28,2,25,0.986,29,12,33.66667,68,353,16,22,64,101,38,55,37,17,3,0
28,2,25,1.052,34,11,33.33333,145,503,25,15,62,96,59,62,60,53,33,33
28,3,19,1.105,45,12,29.33333,31,384,16,6,17,88,69,58,47,42,9,4
28,3,19,1.099,56,23,27,53,580,7,18,40,67,56,63,70,61,54,49
28,3,19,1.123,62,12,22.33333,18,335,16,14,14,67,63,50,47,11,3,9
28,3,19,1.076,44,15,24.66667,75,449,27,13,29,53,74,51,67,25,35,27
28,3,25,1.092,38,8,48.33333,60,610,41,85,142,109,79,34,43,17,44,13
28,3,25,1.107,29,11,68.66666,98,681,16,51,173,156,109,105,34,22,14,1
28,3,25,1.059,41,10,36.33333,11,473,3,21,92,87,68,84,52,45,13,6
28,3,25,1.023,38,11,41.33333,12,548,7,44,123,94,112,98,50,8,6,3                                                                30   1    19            1.129         64            21       24.33333      13            383         0         8            46        45            52            53       73            44     31             4
30,1,19,1.123,64,21,31.66667,55,631,9,8,3,24,71,70,95,80,50,37
30,1,25,1.048,55,9,41.66667,18,524,57,57,125,102,59,26,23,22,10,12
30,1,25,1.084,68,7,37.66667,0,247,2,89,62,46,29,11,6,2,0,0
30,1,25,1.081,44,9,31.33333,4,526,40,41,94,70,58,69,63,71,16,1
30,1,25,1.077,59,10,34.66667,1,510,26,25,102,91,79,55,40,23,28,24
30,2,19,1.098,65,28,31.66667,82,692,26,7,22,37,41,44,71,81,92,64
30,2,19,1.078,79,22,20.66667,4,257,0,0,9,0,10,22,58,34,25,19
30,2,25,1.135,48,11,44.66667,30,838,20,47,77,133,115,89,103,85,90,49
30,2,25,1.114,44,10,24.33333,83,523,26,45,58,65,67,31,50,52,46,23
